page,url,creation_date,author,title,keywords,verdict
26,https://www.reuters.com/article/factcheck-deaths-covid-vaccinated/fact-check-deaths-among-covid-vaccinated-not-a-reflection-of-vaccine-effectiveness-idUSL1N33K1FO,2022-12-30 20:14:18,Reuters Fact Check,Fact Check-Deaths among COVID-vaccinated not a reflection of vaccine effectiveness,"FACTCHECK,DEATHS/COVID,VACCINATED",Misleading
26,https://www.reuters.com/article/factcheck-tate-footage/fact-check-footage-of-tate-brothers-leaving-romanian-anti-organized-crime-unit-predates-their-december-arrest-idUSL1N33K1F9,2022-12-30 20:08:43,Reuters Fact Check,Fact Check-Footage of Tate brothers leaving Romanian anti-organized crime unit predates their December arrest,"FACTCHECK,TATE/FOOTAGE",Missing context
26,https://www.reuters.com/article/factcheck-musk-trump-video/fact-check-manipulated-clip-of-elon-musk-altered-to-claim-trump-won-2020-presidential-election-idUSL1N33K1DD,2022-12-30 19:55:06,Reuters Fact Check,Fact Check-Manipulated clip of Elon Musk altered to claim Trump won 2020 presidential election,"FACTCHECK,MUSK/TRUMP,VIDEO",Altered
26,https://www.reuters.com/article/factcheck-vaccines-80-doctors/fact-check-no-evidence-that-80-canadian-doctors-died-from-covid-vaccinations-idUSL1N33K1EM,2022-12-30 19:52:09,Reuters Fact Check,Fact Check-No evidence that 80 Canadian doctors died from COVID vaccinations,"FACTCHECK,VACCINES/80,DOCTORS",No evidence
27,https://www.reuters.com/article/factcheck-tate-carlson/fact-check-august-2022-tucker-carlson-interview-with-andrew-tate-re-shared-as-if-recent-idUSL1N33K17B,2022-12-30 17:40:04,Reuters Fact Check,Fact Check-August 2022 Tucker Carlson interview with Andrew Tate re-shared as if recent,"FACTCHECK,TATE/CARLSON",Misleading
27,https://www.reuters.com/article/factcheck-greg-abbott-migrants/fact-check-fabricated-greg-abbott-tweet-about-migrants-bussed-to-dc-on-christmas-eve-circulates-online-idUSL1N33J1JP,2022-12-29 20:30:59,Reuters Fact Check,Fact Check-Fabricated Greg Abbott tweet about migrants bussed to DC on Christmas Eve circulates online,"FACTCHECK,GREG ABBOTT/MIGRANTS,Fundamental Rights / Civil Liberties,General News,Asylum / Immigration / Refugees,Government / Politics",FALSE
27,https://www.reuters.com/article/factcheck-walmart-storm/fact-check-clip-of-ransacked-walmart-store-predates-december-2022-winter-storm-idUSL1N33J1FS,2022-12-29 19:22:40,Reuters Fact Check,Fact Check-Clip of ransacked Walmart store predates December 2022 winter storm,"FACTCHECK,WALMART/STORM,Commodities Markets,Disasters / Accidents,Environment,General News,Weather Markets / Weather,Wind / Hurricanes / Typhoons / Tornadoes",Miscaptioned
27,https://www.reuters.com/article/factcheck-elon-musk-journalists/fact-check-fabricated-elon-musk-tweet-about-journalists-shared-online-idUSL1N33J1DT,2022-12-29 18:59:03,Reuters Fact Check,Fact Check-Fabricated Elon Musk tweet about journalists shared online,"FACTCHECK,ELON MUSK/JOURNALISTS",FALSE
27,https://www.reuters.com/article/factcheck-hooters-millennials/fact-check-hooters-not-shutting-down-or-rebranding-to-suit-millennial-tastes-idUSL1N33J1C5,2022-12-29 18:30:43,Reuters Fact Check,Fact Check-Hooters not shutting down or rebranding to suit millennial tastes,"FACTCHECK,HOOTERS/MILLENNIALS",FALSE
27,https://www.reuters.com/article/factcheck-biden-child/fact-check-altered-image-of-biden-with-child-shared-online-idUSL1N33J193,2022-12-29 17:39:07,Reuters Fact Check,Fact Check-Altered image of Biden with child shared online,"FACTCHECK,BIDEN/CHILD",Altered
27,https://www.reuters.com/article/factcheck-alien-dollar/fact-check-old-hoax-about-an-alien-figure-hidden-on-the-dollar-bill-idUSL1N33I174,2022-12-28 19:21:53,Reuters Fact Check,Fact Check-Old hoax about an alien figure hidden on the dollar bill,"FACTCHECK,ALIEN/DOLLAR",Altered
27,https://www.reuters.com/article/factcheck-twitter-ceo-arrest/fact-check-no-evidence-to-support-headline-about-agrawal-arrest-for-child-porn-idUSL1N33I14T,2022-12-28 18:23:03,Reuters Fact Check,Fact Check-No evidence to support headline about Agrawal arrest for child porn,"FACTCHECK,TWITTER/CEO,ARREST",No evidence
27,https://www.reuters.com/article/factcheck-pregnancy-raw-fish/fact-check-no-raw-fish-is-considered-safe-during-pregnancy-idUSL1N33H0XJ,2022-12-27 18:05:52,Reuters Fact Check,Fact Check-No raw fish is considered safe during pregnancy,"FACTCHECK,PREGNANCY/RAW,FISH",Misleading
27,https://www.reuters.com/article/factcheck-planes-ships-leo/fact-check-images-of-planes-ships-captured-from-low-orbit-do-exist-idUSL1N33D1XG,2022-12-23 22:49:41,Reuters Fact Check,"Fact Check-Images of planes, ships captured from low orbit do exist","FACTCHECK,PLANES/SHIPS,LEO",Misleading
28,https://www.reuters.com/article/factcheck-zelenskiy-charlie-hebdo/fact-check-fabricated-charlie-hebdo-magazine-cover-featuring-ukraines-zelenskiy-circulates-online-idUSL1N33D1KQ,2022-12-23 21:20:28,Reuters Fact Check,Fact Check-Fabricated Charlie Hebdo magazine cover featuring Ukraine’s Zelenskiy circulates online,"FACTCHECK,ZELENSKIY/CHARLIE,HEBDO,Cyclical Consumer Services (TRBC level 2),Company News,Consumer Cyclicals (TRBC level 1),Europe,Euro Zone,France,Magazine Publishing (TRBC level 5),Media & Publishing (TRBC level 3),Media / Publishing (Legacy),Consumer Publishing (TRBC level 4),Technology / Media / Telecoms,Western Europe",FALSE
28,https://www.reuters.com/article/fact-check-image-of-ukraines-first-lady/fact-check-image-of-ukraines-first-lady-olena-zelenska-wearing-luxury-brands-is-altered-idUSL1N33D1R8,2022-12-23 20:57:43,Reuters Fact Check,Fact Check-Image of Ukraine’s first lady Olena Zelenska wearing luxury brands is altered,"Fact Check,Image of Ukraine’s first lady Olena Zelenska wearing",Altered
28,https://www.reuters.com/article/factcheck-oxford-traffic/fact-check-survey-about-oxford-traffic-filters-has-been-misinterpreted-idUSL1N33D1EQ,2022-12-23 19:14:43,Reuters Fact Check,Fact Check-Survey about Oxford traffic filters has been misinterpreted,"FACTCHECK,OXFORD/TRAFFIC",FALSE
28,https://www.reuters.com/article/factcheck-cnn-biden/fact-check-fabricated-cnn-headline-claiming-that-biden-pledged-billions-toward-classes-for-women-in-africa-circulates-online-idUSL1N33D1BQ,2022-12-23 18:09:25,Reuters Fact Check,Fact Check-Fabricated CNN headline claiming that Biden pledged billions toward classes for women in Africa circulates online,"FACTCHECK,CNN/BIDEN",Altered
28,https://www.reuters.com/article/fact-check-wef-schwab-harari/fact-check-world-economic-forum-did-not-declare-god-is-dead-or-that-humans-would-become-gods-idUSL1N33D18N,2022-12-23 17:09:09,Reuters Fact Check,Fact Check-World Economic Forum did not declare ‘God is dead’ or that humans would become gods,"FACT CHECK,WEF/SCHWAB,HARARI",No evidence
28,https://www.reuters.com/article/factcheck-biden-altered-photo/fact-check-altered-photo-spreading-of-president-zelenskiy-president-biden-and-first-lady-idUSL1N33C1T1,2022-12-22 19:53:04,Reuters Fact Check,"Fact Check-Altered photo spreading of President Zelenskiy, President Biden and first lady","FACTCHECK,BIDEN/ALTERED,PHOTO",Altered
28,https://www.reuters.com/article/factcheck-concept-artificial-womb/fact-check-video-presenting-fictional-artificial-womb-facility-taken-out-of-context-idUSL1N33C1L5,2022-12-22 17:58:20,Reuters Fact Check,Fact Check-Video presenting fictional ‘artificial womb facility’ taken out of context,"FACTCHECK,CONCEPT/ARTIFICIAL,WOMB",Missing context
28,https://www.reuters.com/article/factcheck-elon-musk-forbes/fact-check-fabricated-forbes-cover-featuring-elon-musk-circulates-online-idUSL1N33C121,2022-12-22 14:41:18,Reuters Fact Check,Fact Check-Fabricated Forbes cover featuring Elon Musk circulates online,"FACTCHECK,ELON MUSK/FORBES",Satire
28,https://www.reuters.com/article/factcheck-vaccines-ploy/fact-check-covid-vaccinations-did-not-inject-people-with-the-next-pandemic-idUSL1N33B1QD,2022-12-21 19:06:56,Reuters Fact Check,Fact Check-COVID vaccinations did not ‘inject people’ with the next pandemic,"FACTCHECK,VACCINES/PLOY",No evidence
28,https://www.reuters.com/article/factcheck-macron-mbapp/fact-check-photo-of-emmanuel-macron-crying-while-embracing-kylian-mbapp-at-world-cup-final-is-digitally-altered-idUSL1N33B1E1,2022-12-21 16:03:43,Reuters Fact Check,Fact Check-Photo of Emmanuel Macron crying while embracing Kylian Mbappé at World Cup final is digitally altered,"FACTCHECK,MACRON/MBAPPÉ",Digitally altered
29,https://www.reuters.com/article/factcheck-cdc-suddenly-vaccines/fact-check-no-evidence-the-cdc-quietly-confirmed-118000-people-died-suddenly-due-to-covid-19-vaccines-idUSL1N33A21Y,2022-12-20 20:07:22,Reuters Fact Check,"Fact Check-No evidence the CDC ‘quietly’ confirmed 118,000 people ‘died suddenly’ due to COVID-19 vaccines","FACTCHECK,CDC/SUDDENLY,VACCINES",Misleading
29,https://www.reuters.com/article/factcheck-maricopa-map/fact-check-heat-map-showing-republican-voters-in-maricopa-county-does-not-prove-that-voter-fraud-was-committed-during-the-midterm-elections-idUSL1N33A1TR,2022-12-20 18:06:57,Reuters Fact Check,Fact Check-Heat map showing Republican voters in Maricopa County does not prove that voter fraud was committed during the midterm elections,"FACTCHECK,MARICOPA/MAP",FALSE
29,https://www.reuters.com/article/factcheck-markle-charlotte/fact-check-facebook-post-does-not-show-video-of-meghan-markle-and-princess-charlotte-idUSL1N33A1FR,2022-12-20 15:29:38,Reuters Fact Check,Fact Check-Facebook post does not show video of Meghan Markle and Princess Charlotte,"FACTCHECK,MARKLE/CHARLOTTE",FALSE
29,https://www.reuters.com/article/factcheck-celebrities-sgtpepper/fact-check-image-inspired-by-the-beatles-sgt-pepper-album-cover-showing-celebrities-who-died-in-2022-is-annual-artwork-produced-by-british-artist-idUSL1N33A0RT,2022-12-20 12:02:41,Reuters Fact Check,"Fact Check-Image inspired by The Beatles’ ‘Sgt. Pepper’ album cover, showing celebrities who died in 2022, is annual artwork produced by British artist","FACTCHECK,CELEBRITIES/SGTPEPPER,Celebrities,Arts / Culture / Entertainment,General News,Personalities / People",Missing context
29,https://www.reuters.com/article/factcheck-visionexpress-rectal/fact-check-photo-of-vision-express-shop-window-advert-offering-free-rectal-photography-is-digitally-altered-idUSL1N33A0OD,2022-12-20 10:53:57,Reuters Fact Check,Fact Check-Photo of Vision Express shop window advert offering ‘free rectal photography’ is digitally altered,"FACTCHECK,VISIONEXPRESS/RECTAL",Digitally altered
29,https://www.reuters.com/article/factcheck-musk-fox-quote/fact-check-altered-fox-news-post-attributes-quote-from-the-novel-animal-farm-to-elon-musk-idUSL1N33915V,2022-12-19 15:26:57,Reuters Fact Check,Fact Check-Altered Fox News post attributes quote from the novel Animal Farm to Elon Musk,"FACTCHECK,MUSK/FOX,QUOTE",Altered
